"Party","Parent Category","Category","Gas","Unit","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Year_2017"
"Liechtenstein","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",235.94447533271554,235.94447533271554,227.38459936876512,238.6923268932467,242.4976784833225,248.5829069863418,238.7175509085698,232.64182844889405,256.83942381650144,259.9153563737935,255.76850955596694,272.50414397638923,248.53278607183705,255.72318517373574,270.0619134449116,272.92677789490665,273.4631013556921,281.671530149301,261.65389354642764,283.8027337256897,266.10028140112337,249.7165360047353,240.41177083866995,249.85219321529303,248.74846006445145,217.00614838892304,208.85026601849987,196.8911538636706,204.1691116269339
"Lithuania","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",43151.667347579314,43151.667347579314,45109.76609803051,26185.061321831326,19097.952141395315,18185.51209073108,18410.864617980413,24645.649629352443,23094.21767275086,16677.713169499417,14763.021580951581,10942.021782783879,13760.04954336375,15159.404943305415,15736.835288925478,17238.94695568767,19122.02579198259,21152.94484441682,21424.101010690643,19817.59188968022,14239.321904720382,11745.17730761076,12491.070485397628,12970.34365806433,12149.032333781053,13439.946221363776,16325.697243738541,14154.329841159542,15120.925328162839
"Luxembourg","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",12880.931148364063,12880.931148364063,13233.573105625925,12611.94590950681,12665.517779249214,12045.92907378289,9563.311394846587,9581.833281597232,8844.064964762822,8089.322658180539,8451.363329145515,9006.641499042507,9482.90555668342,10257.507498160221,10735.883697325537,12133.752997732547,12423.616051515124,12338.337105297114,11837.945549491162,11707.206594795056,11184.829344050628,12091.660308015165,11841.664770432506,11468.672426184858,10738.503872794694,10370.77317339074,9932.98603528957,9599.856517237838,9892.267282243814
"Malta","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",2106.1377694218763,2106.1377694218763,2285.007586377601,2487.3662245399255,2506.749635232296,2680.1685763080995,2678.9383117909697,2641.3379084204935,2694.8893362236986,2706.633250448205,2756.5729252025512,2770.8278543278448,2678.467890665895,2681.229827469228,2896.0778326793006,2831.177044917415,2911.325949932515,2964.853257804348,3068.125822038479,3076.407084300936,2880.6422213201795,2911.942016495221,2999.6977666273165,3189.864380094121,2862.7420645787734,2877.8693303199725,2191.3376501894545,1899.0954907583605,2155.235138823545
"Monaco","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",101.42631182473508,101.42631182473508,102.32314961744353,108.00530792281752,107.04221755070974,107.8218226146386,104.42198165706738,108.81257514084194,106.602283711131,105.93853922573145,107.46888464558869,108.54349185934036,106.2649737786756,106.35629181980514,104.11444319830557,99.79694759067331,98.71451263904024,91.7153426333245,94.64954253382275,92.654346595873,87.46208598431804,87.3631519833394,85.44127093236995,88.20780082814183,89.95418097453508,83.80235643581825,88.84342487454664,87.60657865877518,86.58178860345646
"Netherlands","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",227285.09806428166,227285.09806428166,235024.60192454042,235720.18572608562,236543.15606899685,237440.5067518979,237439.94665753955,248449.31556566374,240161.06709468458,240706.6940464124,227302.72587055777,225376.01358838627,226080.22908879453,223904.27393335162,224624.60691595447,225764.27261986304,219969.12053717178,214834.38642591645,213274.54718147288,212522.77996965588,207029.23532199618,218932.07711319692,204826.97003305441,200894.04094607846,200694.19976859586,192912.40235340403,201205.9080724806,200963.45226878644,198859.99577927828
"New Zealand","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",34506.48310534469,34506.48310534469,32925.07256361561,34271.876802747196,33895.75303630832,36141.64042095715,38671.199087124514,41963.01045010191,44299.91215367005,41953.206876779426,42104.61204900807,45115.16234023732,48072.355821246645,50845.92139737248,51904.254828850244,51627.7070538086,54465.1424596517,56630.26054898751,55963.76563499696,48856.940029435485,48100.21327905016,47805.0494527709,52112.948892277236,55465.338786920875,57442.574350809395,55370.63828930004,55877.27410793732,54304.54395647318,56895.018789226604
"Norway","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",41241.539850316774,41241.539850316774,36173.29793582343,33556.40261986535,36516.02747376087,36241.49803893628,37453.87641959087,37668.98816036062,37746.04604692278,34801.54007125061,33268.38459701898,30422.826472806926,29801.305179165378,28000.643106927877,27211.345273527728,28370.240985296772,30224.283609818234,28187.662941861407,30099.199277070336,27924.065057534688,22829.901443295475,29008.862869153854,26687.93682127393,29606.634876003754,28799.88402539849,30054.892961946418,31237.305520750866,29829.019677896413,27721.584560075848
"Poland","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",561554.2330123181,447159.2023177295,442312.5490978203,450745.97259572585,444655.8394265129,438339.58925888245,425063.48957020725,420067.194882858,411385.2320497502,377922.52615012374,370180.7339131791,362575.70574622095,365951.3168108129,346350.6391900302,357509.6418332307,351243.58622335095,356817.09111069964,378075.48378872056,384918.36964109575,378461.32973020006,362226.17900081933,381648.1756030682,374300.26696039236,367328.8575848492,361702.69978485664,357616.50772261346,359888.12798141665,373079.17310767353,379935.26243423176
"Portugal","Totals","Total GHG emissions with LULUCF","Aggregate GHGs","kt CO₂ equivalent",60246.61386068457,60246.61386068457,61887.0890422639,61854.71569892838,59338.840135835424,59444.227447792946,64273.02113226612,58579.323390960104,60964.81432974203,67521.90078081514,74308.45366442589,76403.5652936806,73070.0494264532,77466.21901724859,82882.13331225884,76172.75420929078,87130.1965025513,72607.59122302876,66441.2294350821,62529.38071842932,59537.959903846524,57890.25655985857,56370.02987751507,56985.441473047904,55782.38295005499,54050.12353535734,59270.07196781584,60541.61191157145,77776.73231257108
